,GAME_ID,MATCHUP
649,0022000350,BOS @ LAC
650,0022000344,ORL vs. CHI
651,0022000342,CHA vs. UTA
652,0022000346,MIL @ CLE
653,0022000342,UTA @ CHA
654,0022000343,IND vs. NOP
655,0022000345,BKN vs. TOR
656,0022000356,ATL vs. TOR
657,0022000356,TOR @ ATL
658,0022000355,MEM @ NOP
659,0022000355,NOP vs. MEM
660,0022000358,HOU vs. SAS
661,0022000360,GSW @ DAL
662,0022000358,SAS @ HOU
663,0022000360,DAL vs. GSW
664,0022000353,ORL vs. CHI
665,0022000353,CHI @ ORL
666,0022000352,DEN @ SAC
667,0022000352,SAC vs. DEN
668,0022000361,DET @ LAL
669,0022000357,CLE vs. MIL
670,0022000357,MIL @ CLE
671,0022000359,OKC vs. MIN
672,0022000359,MIN @ OKC
673,0022000361,LAL vs. DET
674,0022000354,BKN @ PHI
675,0022000354,PHI vs. BKN
676,0022000351,POR @ NYK
677,0022000351,NYK vs. POR
678,0022000364,NYK vs. MIA
679,0022000364,MIA @ NYK
680,0022000366,SAC @ LAC
681,0022000366,LAC vs. SAC
682,0022000363,UTA @ IND
683,0022000363,IND vs. UTA
684,0022000215,CHA vs. WAS
685,0022000215,WAS @ CHA
686,0022000365,BOS @ PHX
687,0022000365,PHX vs. BOS
688,0022000374,OKC @ LAL
689,0022000374,LAL vs. OKC
690,0022000367,HOU @ CHA
691,0022000369,TOR @ MEM
692,0022000372,PHX vs. CLE
693,0022000368,WAS @ CHI
694,0022000373,MIL @ DEN
695,0022000372,CLE @ PHX
696,0022000371,GSW @ SAS
697,0022000371,SAS vs. GSW
698,0022000369,MEM vs. TOR
699,0022000367,CHA vs. HOU
700,0022000368,CHI vs. WAS
701,0022000370,DAL vs. MIN
702,0022000373,DEN vs. MIL
703,0022000370,MIN @ DAL
704,0022000379,UTA vs. BOS
705,0022000379,BOS @ UTA
706,0022000380,POR vs. ORL
707,0022000380,ORL @ POR
708,0022000375,DET vs. BKN
709,0022000376,MIA vs. NYK
710,0022000376,NYK @ MIA
711,0022000381,PHI @ SAC
712,0022000381,SAC vs. PHI
713,0022000377,NOP vs. HOU
714,0022000377,HOU @ NOP
715,0022000378,SAS vs. GSW
716,0022000375,BKN @ DET
717,0022000378,GSW @ SAS
718,0022000382,WAS vs. TOR
719,0022000384,ATL @ DAL
720,0022000390,LAL vs. OKC
721,0022000384,DAL vs. ATL
722,0022000390,OKC @ LAL
723,0022000385,NOP @ CHI
724,0022000386,MEM vs. CHA
725,0022000386,CHA @ MEM
726,0022000382,TOR @ WAS
727,0022000383,IND @ BKN
728,0022000388,CLE @ DEN
729,0022000387,LAC @ MIN
730,0022000387,MIN vs. LAC
731,0022000388,DEN vs. CLE
732,0022000389,MIL @ PHX
733,0022000383,BKN vs. IND
734,0022000385,CHI vs. NOP
735,0022000389,PHX vs. MIL
736,0022000398,BOS vs. TOR
737,0022000398,TOR @ BOS
738,0022000394,POR vs. PHI
739,0022000392,MIA @ HOU
740,0022000393,GSW vs. ORL
741,0022000392,HOU vs. MIA
742,0022000394,PHI @ POR
743,0022000391,IND @ DET
744,0022000391,DET vs. IND
745,0022000393,ORL @ GSW
746,0022000404,POR vs. CLE
747,0022000405,SAC vs. ORL
748,0022000404,CLE @ POR
749,0022000399,NOP @ DAL
750,0022000401,OKC @ DEN
751,0022000395,CHA vs. MIN
752,0022000399,DAL vs. NOP
